id,EDUCATION,SOUTH,SEX,EXPERIENCE,UNION,WAGE,AGE,RACE,OCCUPATION,SECTOR,MARR
417,14,no,female,24,not_member,4.17,44,White,Service,Other,Unmarried
418,12,no,male,25,member,13,43,Other,Service,Other,Married
419,14,no,female,6,not_member,3.98,26,White,Service,Other,Unmarried
420,12,no,female,10,not_member,7.5,28,White,Service,Other,Unmarried
421,12,no,female,33,not_member,13.12,51,Other,Service,Other,Married
422,12,no,male,12,not_member,4,30,White,Service,Other,Unmarried
423,12,yes,female,9,not_member,3.95,27,White,Service,Other,Married
424,11,yes,male,18,member,13,35,White,Service,Other,Married
425,12,no,male,10,not_member,9,28,White,Service,Other,Married
426,8,yes,female,45,not_member,4.55,59,White,Service,Other,Unmarried
427,9,no,female,46,member,9.5,61,White,Service,Other,Married
428,7,yes,male,14,not_member,4.5,27,Hispanic,Service,Other,Married
429,11,no,female,36,not_member,8.75,53,White,Service,Other,Unmarried
430,13,no,male,34,member,10,53,White,Professional,Construction,Married
431,18,no,male,15,not_member,18,39,White,Professional,Other,Married
432,17,no,male,31,not_member,24.98,54,White,Professional,Manufacturing,Married
433,16,no,female,6,not_member,12.05,28,White,Professional,Manufacturing,Unmarried
434,14,yes,male,15,not_member,22,35,White,Professional,Other,Married
435,12,no,male,30,not_member,8.75,48,White,Professional,Other,Married
436,18,no,male,8,not_member,22.2,32,White,Professional,Other,Married
437,18,no,male,5,not_member,17.25,29,White,Professional,Manufacturing,Married
438,17,no,female,3,member,6,26,White,Professional,Other,Unmarried
439,13,yes,male,17,not_member,8.06,36,White,Professional,Other,Married
440,16,no,male,5,member,9.24,27,Other,Professional,Manufacturing,Married
441,14,no,female,10,not_member,12,30,White,Professional,Other,Married
442,15,no,female,33,not_member,10.61,54,White,Professional,Other,Unmarried
443,18,no,male,3,not_member,5.71,27,White,Professional,Other,Married
444,16,no,female,0,not_member,10,18,White,Professional,Other,Unmarried
445,16,yes,male,13,not_member,17.5,35,Other,Professional,Other,Married
446,18,no,male,12,not_member,15,36,White,Professional,Other,Married
447,16,no,female,6,not_member,7.78,28,White,Professional,Other,Married
448,17,no,male,7,not_member,7.8,30,White,Professional,Other,Married
449,16,yes,male,14,member,10,36,White,Professional,Other,Married
450,17,no,female,5,not_member,24.98,28,White,Professional,Other,Unmarried
451,15,yes,female,10,not_member,10.28,31,White,Professional,Other,Married
452,18,no,female,11,not_member,15,35,White,Professional,Other,Married
453,17,no,female,24,not_member,12,47,White,Professional,Other,Married
454,16,no,male,9,not_member,10.58,31,White,Professional,Manufacturing,Unmarried
455,18,yes,male,12,not_member,5.85,36,White,Professional,Other,Married
456,18,no,male,19,not_member,11.22,43,White,Professional,Other,Married
457,14,no,female,14,not_member,8.56,34,White,Professional,Other,Married
458,16,no,female,17,not_member,13.89,39,White,Professional,Manufacturing,Unmarried
459,18,yes,male,7,not_member,5.71,31,White,Professional,Other,Unmarried
460,18,no,male,7,not_member,15.79,31,White,Professional,Other,Married
461,16,no,female,22,not_member,7.5,44,White,Professional,Other,Married
462,12,no,female,28,not_member,11.25,46,White,Professional,Other,Married
463,16,no,female,16,not_member,6.15,38,White,Professional,Other,Unmarried
464,16,yes,male,16,not_member,13.45,38,Other,Professional,Other,Unmarried
465,16,no,female,7,not_member,6.25,29,White,Professional,Other,Married
466,12,no,female,11,not_member,6.5,29,White,Professional,Other,Unmarried
467,12,no,female,11,not_member,12,29,White,Professional,Other,Married
468,12,no,female,16,not_member,8.5,34,White,Professional,Other,Unmarried
469,18,no,male,33,member,8,57,White,Professional,Other,Unmarried
470,12,yes,female,21,not_member,5.75,39,White,Professional,Other,Married
471,16,no,male,4,not_member,15.73,26,White,Professional,Manufacturing,Married
472,15,no,male,13,not_member,9.86,34,White,Professional,Other,Married
473,18,no,male,14,member,13.51,38,White,Professional,Other,Married
474,16,no,female,10,not_member,5.4,32,White,Professional,Other,Married
475,18,yes,male,14,not_member,6.25,38,White,Professional,Other,Married
476,16,yes,male,29,not_member,5.5,51,White,Professional,Other,Married
477,12,no,male,4,not_member,5,22,Hispanic,Professional,Other,Unmarried
478,18,no,male,27,not_member,6.25,51,Other,Professional,Other,Married
479,12,no,male,3,not_member,5.75,21,White,Professional,Other,Married
480,16,yes,male,14,member,20.5,36,White,Professional,Other,Married
481,14,no,male,0,not_member,5,20,White,Professional,Construction,Married
482,18,no,male,33,not_member,7,57,White,Professional,Other,Married
483,16,yes,male,38,not_member,18,60,White,Professional,Other,Married
484,18,no,female,18,member,12,42,White,Professional,Other,Married
485,17,no,male,3,not_member,20.4,26,White,Professional,Manufacturing,Unmarried
486,18,no,female,40,not_member,22.2,64,White,Professional,Other,Unmarried
487,14,no,male,19,not_member,16.42,39,White,Professional,Manufacturing,Unmarried
488,14,no,female,4,not_member,8.63,24,White,Professional,Other,Unmarried
489,16,no,female,11,not_member,19.38,33,White,Professional,Other,Married
490,16,no,female,16,not_member,14,38,White,Professional,Other,Married
491,14,no,male,22,not_member,10,42,White,Professional,Other,Married
492,17,no,female,13,member,15.95,36,White,Professional,Other,Unmarried
493,16,yes,female,28,member,20,50,White,Professional,Other,Married
494,16,no,female,10,not_member,10,32,White,Professional,Other,Married
495,16,yes,female,5,not_member,24.98,27,White,Professional,Other,Unmarried
496,15,no,male,5,not_member,11.25,26,White,Professional,Other,Unmarried
497,18,no,female,37,not_member,22.83,61,White,Professional,Manufacturing,Unmarried
498,17,no,female,26,member,10.2,49,White,Professional,Other,Married
499,16,yes,female,4,not_member,10,26,White,Professional,Other,Married
500,18,no,female,31,member,14,55,White,Professional,Other,Unmarried
501,17,no,female,13,member,12.5,36,White,Professional,Other,Married
502,12,no,female,42,not_member,5.79,60,White,Professional,Other,Married
503,17,no,male,18,not_member,24.98,41,Hispanic,Professional,Other,Married
504,12,no,female,3,not_member,4.35,21,White,Professional,Other,Married
505,17,no,female,10,not_member,11.25,33,White,Professional,Other,Unmarried
506,16,no,female,10,member,6.67,32,White,Professional,Other,Unmarried
507,16,no,female,17,not_member,8,39,Hispanic,Professional,Other,Married
508,18,no,male,7,not_member,18.16,31,White,Professional,Other,Married
509,16,no,female,14,not_member,12,36,White,Professional,Other,Married
510,16,no,female,22,member,8.89,44,White,Professional,Other,Married
511,17,no,female,14,not_member,9.5,37,White,Professional,Other,Married
512,16,no,male,11,not_member,13.65,33,White,Professional,Other,Married
513,18,no,male,23,member,12,47,White,Professional,Other,Married
514,12,no,male,39,member,15,57,White,Professional,Other,Married
515,16,no,male,15,not_member,12.67,37,White,Professional,Other,Married
516,14,no,female,15,not_member,7.38,35,Hispanic,Professional,Other,Unmarried
517,16,no,male,10,not_member,15.56,32,White,Professional,Other,Unmarried
518,12,yes,female,25,not_member,7.45,43,White,Professional,Other,Unmarried
519,14,no,female,12,not_member,6.25,32,White,Professional,Other,Married
520,16,yes,female,7,not_member,6.25,29,Hispanic,Professional,Other,Married
521,17,no,male,7,member,9.37,30,White,Professional,Other,Married
522,16,no,male,17,not_member,22.5,39,White,Professional,Manufacturing,Married
523,16,no,male,10,member,7.5,32,White,Professional,Other,Married
524,17,yes,male,2,not_member,7,25,White,Professional,Other,Married
525,9,yes,female,34,member,5.75,49,Other,Professional,Other,Married
526,15,no,female,11,not_member,7.67,32,White,Professional,Other,Married
527,15,no,male,10,not_member,12.5,31,White,Professional,Other,Unmarried
528,12,yes,male,12,not_member,16,30,White,Professional,Other,Married
529,16,no,female,6,member,11.79,28,White,Professional,Other,Unmarried
530,18,no,male,5,not_member,11.36,29,White,Professional,Other,Unmarried
531,12,no,female,33,not_member,6.1,51,Other,Professional,Other,Married
532,17,no,female,25,member,23.25,48,Other,Professional,Other,Married
533,12,yes,male,13,member,19.88,31,White,Professional,Other,Married
534,16,no,male,33,not_member,15.38,55,White,Professional,Manufacturing,Married
